t,X,Y,Z
2.030000000000000249e+00,-7.961503595453072180e+00,-8.894666724673241376e+00,2.503010151247794113e+01
2.040000000000000036e+00,-8.057403662548281886e+00,-9.040960117725640899e+00,2.508027000834146847e+01
2.049999999999999822e+00,-8.157947028693243396e+00,-9.183864199325949329e+00,2.514939563425642177e+01
2.060000000000000053e+00,-8.262296868069725519e+00,-9.321871850226534306e+00,2.523731084563335259e+01
2.069999999999999840e+00,-8.369549831721743161e+00,-9.453421729929400996e+00,2.534365086599492400e+01
2.080000000000000071e+00,-8.478737981483106978e+00,-9.576914781655474940e+00,2.546783672029449619e+01
2.089999999999999858e+00,-8.588832327813175738e+00,-9.690735248529151136e+00,2.560906002905540646e+01
2.100000000000000089e+00,-8.698748250871359389e+00,-9.793276223230446220e+00,2.576627057278007982e+01
2.109999999999999876e+00,-8.807353049293052294e+00,-9.882969531269491625e+00,2.593816771647719932e+01
2.120000000000000107e+00,-8.913475806455423367e+00,-9.958319485955710704e+00,2.612319681614473055e+01
2.129999999999999893e+00,-9.015919688046025726e+00,-1.001793976080183057e+01,2.631955169684673024e+01
2.140000000000000124e+00,-9.113476687331171888e+00,-1.006059231824696809e+01,2.652518418152098079e+01
2.149999999999999911e+00,-9.204944717327835590e+00,-1.008522703391193609e+01,2.673782145063200488e+01
2.160000000000000142e+00,-9.289146815941602853e+00,-1.009102038994409156e+01,2.695499172132661059e+01
2.169999999999999929e+00,-9.364952087238263445e+00,-1.007741140944740721e+01,2.717405835551954851e+01
2.180000000000000160e+00,-9.431297857878570667e+00,-1.004413289694946698e+01,2.739226205427319982e+01
2.189999999999999947e+00,-9.487212392827263585e+00,-9.991236064334527711e+00,2.760677029680357819e+01
2.200000000000000178e+00,-9.531837400449401088e+00,-9.919106777030739508e+00,2.781473267243778480e+01
2.209999999999999964e+00,-9.564449475921872335e+00,-9.828471959121904078e+00,2.801334027647352443e+01
2.220000000000000195e+00,-9.584479594302360184e+00,-9.720395141203775680e+00,2.819988694317858702e+01
2.229999999999999982e+00,-9.591529778891038305e+00,-9.596260697538609108e+00,2.837182981605511856e+01
2.240000000000000213e+00,-9.585386141153211526e+00,-9.457746959975064982e+00,2.852684664370769241e+01
2.250000000000000000e+00,-9.566027615090266778e+00,-9.306789063265076933e+00,2.866288726196309256e+01
2.260000000000000231e+00,-9.533629885898523781e+00,-9.145533010853219125e+00,2.877821698378036430e+01
2.270000000000000018e+00,-9.488564229255562310e+00,-8.976282992997921539e+00,2.887145005220052951e+01
2.280000000000000249e+00,-9.431391218563819123e+00,-8.801444388882705638e+00,2.894157188305085526e+01
2.290000000000000036e+00,-9.362849505102737169e+00,-8.623465104291303973e+00,2.898794948284701434e+01
2.300000000000000266e+00,-9.283840111527519312e+00,-8.444777918822973461e+00,2.901033011367724868e+01
2.310000000000000053e+00,-9.195406884872184605e+00,-8.267746345168973221e+00,2.900882892961396209e+01
2.319999999999999840e+00,-9.098713916557359838e+00,-8.094616161481468453e+00,2.898390687332122795e+01
2.330000000000000071e+00,-8.995020843740844541e+00,-7.927474306369716395e+00,2.893634055453387077e+01
2.339999999999999858e+00,-8.885656993872695253e+00,-7.768216274789018883e+00,2.886718610831120557e+01
